repr,n,time
Vertex Matrix,850,0.000530486
Incidence List,850,0.00416039
Vertex Matrix,900,0.000754319
Incidence List,900,0.00413993
Vertex Matrix,950,0.00055271
Incidence List,950,0.00425559
Vertex Matrix,1000,0.000913361
Incidence List,1000,0.00498637
Vertex Matrix,1050,0.000741666
Incidence List,1050,0.0054104
Vertex Matrix,1100,0.000795287
Incidence List,1100,0.00556742
Vertex Matrix,1150,0.000984644
Incidence List,1150,0.00626475
Vertex Matrix,1200,0.000807181
Incidence List,1200,0.00664393
Vertex Matrix,1250,0.000790774
Incidence List,1250,0.00724248
Vertex Matrix,1300,0.000926042
Incidence List,1300,0.00768558
Vertex Matrix,1350,0.000991435
Incidence List,1350,0.00840883
Vertex Matrix,1400,0.000823452
Incidence List,1400,0.00862803
Vertex Matrix,1450,0.000767593
Incidence List,1450,0.00908676
Vertex Matrix,1500,0.00079095
Incidence List,1500,0.00901438
Vertex Matrix,1550,0.00091414
Incidence List,1550,0.0110254
Vertex Matrix,1600,0.000916721
Incidence List,1600,0.0112105
Vertex Matrix,1650,0.000973396
Incidence List,1650,0.0125199
Vertex Matrix,1700,0.00142086
Incidence List,1700,0.0129412
Vertex Matrix,1750,0.00114099
Incidence List,1750,0.0133005
Vertex Matrix,1800,0.00115582
Incidence List,1800,0.0144364
Vertex Matrix,1850,0.00122889
Incidence List,1850,0.0159859
Vertex Matrix,1900,0.00132571
Incidence List,1900,0.0167097
Vertex Matrix,1950,0.00120177
Incidence List,1950,0.0162869
Vertex Matrix,2000,0.00124156
Incidence List,2000,0.0176187
