repr,n,time
Vertex Matrix,100,5.99158e-05
Incident Matrix,100,0.00190118
Incidence List,100,7.92819e-05
Edge List,100,0.00379255
Vertex Matrix,150,8.55084e-05
Incident Matrix,150,0.00591986
Incidence List,150,0.000141153
Edge List,150,0.0139107
Vertex Matrix,200,0.000102495
Incident Matrix,200,0.0156796
Incidence List,200,0.000236155
Edge List,200,0.0388886
Vertex Matrix,250,0.000183692
Incident Matrix,250,0.0506837
Incidence List,250,0.000468531
Edge List,250,0.0751615
Vertex Matrix,300,0.000170889
Incident Matrix,300,0.0685079
Incidence List,300,0.000601933
Edge List,300,0.117478
Vertex Matrix,350,0.000204872
Incident Matrix,350,0.0870957
Incidence List,350,0.000634326
Edge List,350,0.185259
Vertex Matrix,400,0.000217382
Incident Matrix,400,0.126892
Incidence List,400,0.000796671
Edge List,400,0.268904
Vertex Matrix,450,0.000244779
Incident Matrix,450,0.182246
Incidence List,450,0.000970554
Edge List,450,0.420536
Vertex Matrix,500,0.000311493
Incident Matrix,500,0.281723
Incidence List,500,0.0014692
Edge List,500,0.592626
Vertex Matrix,550,0.000284701
Incident Matrix,550,0.304809
Incidence List,550,0.00133653
Edge List,550,0.725932
Vertex Matrix,600,0.000329135
Incident Matrix,600,0.419701
Incidence List,600,0.00161942
Edge List,600,0.928219
Vertex Matrix,650,0.000322245
Incident Matrix,650,0.540142
Incidence List,650,0.00209579
Edge List,650,1.14324
Vertex Matrix,700,0.000403745
Incident Matrix,700,0.647258
Incidence List,700,0.00252742
Edge List,700,1.48006
Vertex Matrix,750,0.000429906
Incident Matrix,750,0.843981
Incidence List,750,0.00292759
Edge List,750,2.0024
Vertex Matrix,800,0.000618312
Incident Matrix,800,1.00221
Incidence List,800,0.00290178
Edge List,800,2.24696
Vertex Matrix,850,0.000530486
Incidence List,850,0.00416039
Vertex Matrix,900,0.000754319
Incidence List,900,0.00413993
Vertex Matrix,950,0.00055271
Incidence List,950,0.00425559
Vertex Matrix,1000,0.000913361
Incidence List,1000,0.00498637
Vertex Matrix,1050,0.000741666
Incidence List,1050,0.0054104
Vertex Matrix,1100,0.000795287
Incidence List,1100,0.00556742
Vertex Matrix,1150,0.000984644
Incidence List,1150,0.00626475
Vertex Matrix,1200,0.000807181
Incidence List,1200,0.00664393
Vertex Matrix,1250,0.000790774
Incidence List,1250,0.00724248
Vertex Matrix,1300,0.000926042
Incidence List,1300,0.00768558
Vertex Matrix,1350,0.000991435
Incidence List,1350,0.00840883
Vertex Matrix,1400,0.000823452
Incidence List,1400,0.00862803
Vertex Matrix,1450,0.000767593
Incidence List,1450,0.00908676
Vertex Matrix,1500,0.00079095
Incidence List,1500,0.00901438
Vertex Matrix,1550,0.00091414
Incidence List,1550,0.0110254
Vertex Matrix,1600,0.000916721
Incidence List,1600,0.0112105
Vertex Matrix,1650,0.000973396
Incidence List,1650,0.0125199
Vertex Matrix,1700,0.00142086
Incidence List,1700,0.0129412
Vertex Matrix,1750,0.00114099
Incidence List,1750,0.0133005
Vertex Matrix,1800,0.00115582
Incidence List,1800,0.0144364
Vertex Matrix,1850,0.00122889
Incidence List,1850,0.0159859
Vertex Matrix,1900,0.00132571
Incidence List,1900,0.0167097
Vertex Matrix,1950,0.00120177
Incidence List,1950,0.0162869
Vertex Matrix,2000,0.00124156
Incidence List,2000,0.0176187
